target,model,r2,rmse,mae,error_rate,test_rows,test_stations,train_rows,train_stations,persistence_pairs,persistence_median_gap_days,persistence_r2,model_r2_paired,model_minus_persistence,target_transform,log_offset,smearing_factor,cv_mae_raw_fit,cv_mae_log_fit,r2_log,persistence_r2_log,model_r2_paired_log,model_minus_persistence_log
Water Temperature,Linear Regression,0.8947,2.8596,2.2369,30.85,6092,200,28613,799,5892,27.0,0.6403,0.8987,0.2583,none,,,,,,,,
Dissolved Oxygen,Linear Regression,0.3877,2.102,1.518,17.56,6640,182,25185,727,6458,20.0,0.3249,0.4019,0.077,none,,,1.616431,1.63221,,,,
pH,Linear Regression,0.1707,0.577,0.4346,5.52,5673,222,26680,885,5451,28.0,-0.0605,0.1768,0.2372,none,,,0.444785,0.449309,,,,
Nitrate,Linear Regression,0.1719,5.2115,3.2675,111.47,2719,56,9628,222,2663,15.0,0.3984,0.1736,-0.2248,none,,,,,,,,
Nitrite,Linear Regression,-0.0033,0.1227,0.0382,178.89,2271,46,9340,183,2225,15.0,-0.6899,-0.0041,0.6858,none,,,,,,,,
Nitrate + Nitrite,Linear Regression,0.2176,3.9983,2.9153,79.01,1045,74,3614,293,971,33.0,0.1896,0.2058,0.0162,none,,,3.005689,4.181292,,,,
Total Phosphorus,Linear Regression,0.0228,0.4714,0.1958,66.7,1294,91,4592,362,1203,33.0,0.3191,0.0129,-0.3062,none,,,0.181086,0.184303,,,,
Specific Conductance,Linear Regression,0.2195,179.4197,98.296,18.36,4617,97,11450,386,4520,1.0,0.8559,0.2261,-0.6298,none,,,117.997367,125.952834,,,,
Total Dissolved Solids,Linear Regression,0.4211,95.6835,76.4187,24.51,3902,117,14109,465,3785,28.0,0.8107,0.4206,-0.3901,none,,,82.34628,83.29954,,,,
Total Suspended Solids,Linear Regression,-0.0255,211.2197,68.1379,102.52,2435,111,12088,442,2324,31.0,-0.9931,-0.0594,0.9337,log10,0.196,2.62149,102.975353,90.387389,0.1509,0.1046,0.1594,0.0549
Turbidity,Linear Regression,-0.0145,88.2005,30.2246,91.06,3581,169,17575,675,3412,29.0,-0.7883,-0.0107,0.7775,log10,0.14,2.283006,41.551731,37.592686,0.0618,0.0553,0.0732,0.0179
